,name,form,rating,rawErg,erg,age,sire,fee,crop,dam,ems3,bmSire,damForm,sex_C,sex_F,sex_G,sex_R,avgSireRating,avgSireErg,avgSireForm,avgDamRating,avgDamErg,avgBmSireRating,avgBmSireErg,avgBmSireForm,sireIsElite,damIsElite,bmSireIsElite,sireIsEliteErg,damIsEliteErg,bmSireIsEliteErg,sireIsEliteForm,bmSireIsEliteForm,lineage_score
33265,Boise,0,83,43,40,7,Temple City,15000.0,8,Chu and You,52,You And I,0,1.0,0.0,0.0,0.0,63.50101966065833,19.687824335321032,1.6494704782718899,66.02345219514147,30.903293045717106,65.59115073171384,21.051097681905702,1.7014958889733773,0,0,0,0,0,0,0,0,64.69739070838575
33266,Brock on By,2,83,51,50,9,Paynter,20000.0,3,Isle of Wonder,51,Tiz Wonderful,2,0.0,0.0,1.0,0.0,64.74369710876266,30.261113804929636,1.6405744721160582,65.3293404878229,32.52611665758502,66.41708568455597,41.837860220648075,1.6833846933738879,0,0,0,0,0,0,0,0,65.19968057780274
33267,Irish Access,2,83,45,47,11,Blame,30000.0,4,Access Fee,46,Menifee,0,0.0,1.0,0.0,0.0,70.79905467757179,37.055903609936514,1.6743437744897378,67.02558421288161,31.076319686236843,64.65735775523626,24.45875678361598,1.559768601796828,1,0,0,0,0,0,0,0,68.5570854765799
33268,Mr. Magico,2,83,34,41,12,Hat Trick,15000.0,6,Diva Ash,47,Tapit,0,1.0,0.0,0.0,0.0,59.186068131575205,15.961830427051426,1.4610445137893722,68.10678552847482,27.98662637905044,66.1657544237053,39.99147027528695,1.607031160335606,0,0,0,0,0,0,0,0,63.355272164309575
33269,Yakov,2,83,23,0,14,Midshipman,20000.0,1,Glister Girl,35,Glitterman,0,1.0,0.0,0.0,0.0,68.4763552332384,27.03361032908215,1.6739690190229717,67.52345219514147,24.569959712383774,62.422529715452036,15.55915659476261,1.6719552500633663,0,0,0,0,0,0,0,0,67.23476534223651
33270,Zo Lee,2,83,22,17,5,Good Samaritan,12500.0,2,Flipster,34,Good And Tough,2,0.0,1.0,0.0,0.0,63.75039780179364,26.795436918336772,1.5728335696587543,63.77345219514148,28.819959712383774,63.38598449572156,20.88755450131365,1.6284824865686915,0,0,0,0,0,0,0,0,63.703804843554565
33271,Egyptian Empire,2,82,45,0,15,Pioneerof The Nile,20000.0,1,Debbie Got Even,50,Stephen Got Even,2,0.0,1.0,0.0,0.0,68.84114625319452,37.62342742035382,1.6148901238167659,66.93467512197252,26.80359241350957,62.6281980266102,23.03226723350688,1.6051574091254723,0,0,0,0,0,0,0,0,67.24193912327917
33272,Precocious Times,2,82,46,45,7,Hard Spun,40000.0,11,Elmaleeha,44,Galileo,2,0.0,1.0,0.0,0.0,68.23216841118963,41.977098901221474,1.5616833371055399,65.52345219514147,33.153293045717106,68.75551564888609,56.6782861847519,1.4612505454708105,0,0,0,1,0,1,0,0,67.36261982122724
33273,Soul Man,2,82,35,0,14,Perfect Soul,15000.0,7,Extraneous,50,During,0,1.0,0.0,0.0,0.0,57.15320552052921,22.337549184112323,1.5183866342205266,68.60678552847482,24.569959712383774,61.85703565854244,24.520987913715132,1.5063463000760398,0,0,0,0,0,0,0,0,61.86753304401216
33274,Trebbiano,1,82,27,30,7,Connect,20000.0,1,Class E Holiday,39,Harlan's Holiday,2,1.0,0.0,0.0,0.0,64.07822564548853,33.43846825827137,1.6449289936499463,62.48318664166906,31.833808965277328,64.92571762609298,35.179952029387835,1.7289317377120412,0,0,0,0,0,0,0,1,63.647085791242375
33275,Where's the Moon,2,82,62,0,14,Malibu Moon,60000.0,12,Aldiza,53,Storm Cat,4,0.0,0.0,1.0,0.0,67.2154860619688,34.973639810366514,1.5426326451659627,66.93467512197252,26.80359241350957,67.87505798218025,28.003393941971595,1.6425347822934346,0,0,0,0,0,0,0,0,67.21613802100183
33276,Cindylouwho,2,81,41,33,8,Bodemeister,25000.0,5,Goldspun,48,Hard Spun,0,0.0,1.0,0.0,0.0,62.20385788109817,32.95270707434533,1.607431906257921,65.3293404878229,29.75688588835425,65.37018432380538,43.76644988010253,1.6138130896166365,0,0,0,0,0,1,0,0,63.772725759857906
33277,Executive Chef,0,81,22,18,7,Cairo Prince,25000.0,4,Cynisca,31,Munnings,0,0.0,0.0,1.0,0.0,67.56879954539711,31.504815488347134,1.6158477801126745,64.94011886180814,26.653293045717106,63.55703565854244,42.220987913715135,1.5313463000760397,0,0,0,0,0,1,0,0,66.04699672311277
33278,Firenspice,2,81,7,13,7,Uncaptured,20000.0,4,One Oh Eight,29,Mr. Greeley,2,0.0,1.0,0.0,0.0,67.34580824133813,23.60315153353428,1.661234894776863,68.35678552847482,27.819959712383774,64.57079260162652,28.80666560646624,1.5970479210593018,0,0,0,0,0,0,0,0,67.28339794587923
33279,Graceful Gal,2,81,43,0,15,Curlin,40000.0,2,Cloon,49,Lure,2,0.0,1.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,66.84376603106342,26.80359241350957,66.44701853659555,16.601718110808925,1.7936457392626777,1,0,0,1,0,0,0,1,69.85135719431425
